,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,spend_per_capita_GBP,pct_budget_utilised,funding_source
SP-0430,LA050,Sunderland City Council,North East,2021,Roads & Transport,"£3,812,528","£5,027,200",1214672,17.41,131.9,City Deal
SP-0431,LA050,Sunderland City Council,North East,2023,Housing & Planning,36834955,44755600,,155.02,121.5,EU Structural Funds
SP-0432,LA050,Sunderland City Council,North East,2020,Flood & Drainage,33929811,,247689,118.38,100.7,Central Government Grant
SP-0433,LA050,Sunderland City Council,North East,2021,Parks & Green Spaces,5868586,5251800,-616786,18.19,89.5,Private Finance Initiative
SP-0434,LA050,Sunderland City Council,North East,2019,Parks & Green Spaces,"£27,260,868",21019500,-6241368,72.81,77.1,Mixed Funding
SP-0435,LA050,Sunderland City Council,North East,2019,Waste Management,43579403,35573500,-8005903,123.22,81.6,City Deal
SP-0436,LA050,Sunderland City Council,North East,2022,Digital Infrastructure,2583277,3111200,527923,10.78,120.4,City Deal
SP-0437,LA050,Sunderland City Council,North East,2019,Energy & Utilities,30674400,27000200,-3674200,93.52,88,City Deal
SP-0438,LA051,Gateshead Metropolitan Borough Council,North East,2019,Roads & Transport,29489750,36911000,7421250,182.91,125.2,Levelling Up Fund
SP-0439,LA051,Gateshead Metropolitan Borough Council,North East,2021,Housing & Planning,"£3,100,144",3517300,417156,17.43,113.5,Central Government Grant
SP-0440,LA051,Gateshead Metropolitan Borough Council,North East,2022,Flood & Drainage,40442241,43358600,2916359,214.86,107.2,Combined Authority
SP-0441,LA051,Gateshead Metropolitan Borough Council,North East,2023,Parks & Green Spaces,31239677,27076100,-4163577,134.17,86.7,Private Finance Initiative
SP-0442,LA051,Gateshead Metropolitan Borough Council,North East,2019,Waste Management,10219763,7258500,-2961263,35.97,71,Levelling Up Fund
SP-0443,LA051,Gateshead Metropolitan Borough Council,North East,2021,Waste Management,26648666,,790134,,103,EU Structural Funds
SP-0444,LA051,Gateshead Metropolitan Borough Council,North East,2021,Digital Infrastructure,"£2,607,901",2534800,,12.56,97.2,EU Structural Funds
SP-0445,LA051,Gateshead Metropolitan Borough Council,North East,2019,Digital Infrastructure,25798754,29328700,3529946,145.34,113.7,Combined Authority
SP-0446,LA051,Gateshead Metropolitan Borough Council,North East,2023,Energy & Utilities,22359202,"£15,074,000",-7285202,74.7,,Local Authority Budget
SP-0447,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Roads & Transport,36323223,24774700,-11548523,167.28,68.2,Central Government Grant
SP-0448,LA052,South Tyneside Metropolitan Borough Council,NE England,2020,Roads & Transport,39244306,30568800,-8675506,206.41,77.9,Local Authority Budget
SP-0449,LA052,South Tyneside Metropolitan Borough Council,North East,2023,Housing & Planning,41181422,,-4066222,250.61,90.1,Mixed Funding
SP-0450,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Housing & Planning,9024086,10418200,1394114,70.35,115.4,Combined Authority
SP-0451,LA052,South Tyneside Metropolitan Borough Council,North East,2019,Flood & Drainage,3723592,4292300,568708,28.98,115.3,Private Finance Initiative
SP-0452,LA052,South Tyneside Metropolitan Borough Council,NE England,2021,Flood & Drainage,18811592,13469800,-5341792,,71.6,EU Structural Funds
SP-0453,LA052,South Tyneside Metropolitan Borough Council,North East,2022,Parks & Green Spaces,13821359,"£11,080,300",,74.82,80.2,Local Authority Budget
SP-0454,LA052,South Tyneside Metropolitan Borough Council,North East,2019,Parks & Green Spaces,3474072,"£4,316,300",842228,,124.2,Combined Authority
SP-0455,LA052,South Tyneside Metropolitan Borough Council,North East,2021,Waste Management,9805038,8734000,-1071038,58.97,89.1,Central Government Grant
SP-0456,LA052,South Tyneside Metropolitan Borough Council,North East,2020,Digital Infrastructure,41896051,35738100,-6157951,,85.3,EU Structural Funds
SP-0457,LA052,South Tyneside Metropolitan Borough Council,North East,2023,Energy & Utilities,23636982,,1857918,172.15,107.9,Private Finance Initiative
SP-0458,LA052,South Tyneside Metropolitan Borough Council,NE England,2019,Energy & Utilities,3489445,3639700,150255,24.58,104.3,Levelling Up Fund
SP-0459,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Roads & Transport,37733877,47904600,10170723,229.43,127,Private Finance Initiative
SP-0460,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Housing & Planning,26567991,,-8582691,86.14,67.7,City Deal
SP-0461,LA053,North Tyneside Metropolitan Borough Council,North East,2020,Housing & Planning,3574872,,531528,19.67,114.9,Private Finance Initiative
SP-0462,LA053,North Tyneside Metropolitan Borough Council,North East,2019,Flood & Drainage,36989421,33577500,-3411921,160.81,90.8,Combined Authority
SP-0463,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Flood & Drainage,30459512,25433300,-5026212,121.81,83.5,Levelling Up Fund
SP-0464,LA053,North Tyneside Metropolitan Borough Council,North East,2021,Parks & Green Spaces,43891252,"£49,736,200",5844948,238.2,113.3,Central Government Grant
SP-0465,LA053,North Tyneside Metropolitan Borough Council,North East ,2019,Waste Management,24291058,22077500,,105.74,90.9,Mixed Funding
SP-0466,LA053,North Tyneside Metropolitan Borough Council,North East,2022,Digital Infrastructure,"£26,629,010","£26,961,400",332390,129.13,,Mixed Funding
SP-0467,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Energy & Utilities,31253191,,6223909,179.49,119.9,Local Authority Budget
SP-0468,LA053,North Tyneside Metropolitan Borough Council,North East,2022,Energy & Utilities,42894374,,8595926,246.6,120,Central Government Grant
SP-0469,LA054,Middlesbrough Council,North East ,2022,Roads & Transport,10485243,10349100,-136143,73.4,98.7,Local Authority Budget
SP-0470,LA054,Middlesbrough Council,North East,2021,Roads & Transport,21415950,18990000,-2425950,134.68,88.7,Central Government Grant
SP-0471,LA054,Middlesbrough Council,North East,2020,Housing & Planning,22277132,21755400,-521732,,97.7,Private Finance Initiative
SP-0472,LA054,Middlesbrough Council,North East,2019,Flood & Drainage,30087018,,-6691118,165.93,77.8,Combined Authority
SP-0473,LA054,Middlesbrough Council,North East ,2021,Parks & Green Spaces,37530816,31068600,-6462216,220.34,82.8,City Deal
SP-0474,LA054,Middlesbrough Council,North East,2019,Parks & Green Spaces,9839990,7394300,-2445690,,75.1,Combined Authority
SP-0475,LA054,Middlesbrough Council,NE England,2021,Waste Management,21279232,17053400,-4225832,120.95,,Private Finance Initiative
SP-0476,LA054,Middlesbrough Council,North East,2020,Waste Management,"£14,859,946",18831900,3971954,133.56,126.7,EU Structural Funds
SP-0477,LA054,Middlesbrough Council,North East,2023,Digital Infrastructure,"£33,315,706",36361600,3045894,,109.1,Combined Authority
SP-0478,LA054,Middlesbrough Council,North East,2020,Digital Infrastructure,40377821,52065800,11687979,369.26,128.9,Mixed Funding
SP-0479,LA054,Middlesbrough Council,North east,2019,Energy & Utilities,9526903,10340500,813597,73.34,108.5,Levelling Up Fund
SP-0480,LA055,Hartlepool Borough Council,North East,2021,Roads & Transport,27050061,22540500,-4509561,245.01,83.3,Local Authority Budget
SP-0481,LA055,Hartlepool Borough Council,NE England,2023,Housing & Planning,14552716,"£12,970,500",-1582216,140.98,89.1,Local Authority Budget
SP-0482,LA055,Hartlepool Borough Council,North East ,2021,Flood & Drainage,25092554,21339800,,231.95,85,Levelling Up Fund
SP-0483,LA055,Hartlepool Borough Council,North East ,2023,Parks & Green Spaces,21816710,19821900,-1994810,215.46,90.9,EU Structural Funds
SP-0484,LA055,Hartlepool Borough Council,North East,2021,Waste Management,35219051,"£25,354,600",,275.59,72,EU Structural Funds
SP-0485,LA055,Hartlepool Borough Council,NE England,2023,Digital Infrastructure,"£22,773,917",16930100,-5843817,184.02,74.3,Levelling Up Fund
SP-0486,LA055,Hartlepool Borough Council,North East,2019,Energy & Utilities,39325802,,11398998,551.36,129,Combined Authority
SP-0487,LA056,Stockton-on-Tees Borough Council,North East,2021,Roads & Transport,8467363,"£11,261,900",2794537,57.31,133,EU Structural Funds
SP-0488,LA056,Stockton-on-Tees Borough Council,North East,2021,Housing & Planning,"£40,035,935",46530000,6494065,236.79,,Levelling Up Fund
SP-0489,LA056,Stockton-on-Tees Borough Council,NE England,2020,Flood & Drainage,3668846,3242500,-426346,16.5,88.4,Private Finance Initiative
SP-0490,LA056,Stockton-on-Tees Borough Council,NE England,2020,Parks & Green Spaces,21067044,"£14,345,700",-6721344,73.01,68.1,Central Government Grant
SP-0491,LA056,Stockton-on-Tees Borough Council,North East,2022,Waste Management,12377508,8556900,,43.55,69.1,Private Finance Initiative
SP-0492,LA056,Stockton-on-Tees Borough Council,North East,2021,Digital Infrastructure,37075213,40532800,3457587,206.27,109.3,Central Government Grant
SP-0493,LA056,Stockton-on-Tees Borough Council,North East,2021,Energy & Utilities,3941959,4053300,111341,,102.8,Mixed Funding
SP-0494,LA057,Darlington Borough Council,North East,2019,Roads & Transport,14382563,16415700,2033137,155.45,114.1,Combined Authority
SP-0495,LA057,Darlington Borough Council,North East,2023,Housing & Planning,1441092,,-15692,13.5,98.9,Levelling Up Fund
SP-0496,LA057,Darlington Borough Council,North East,2023,Flood & Drainage,"£8,867,814",9447500,579686,89.46,106.5,EU Structural Funds
SP-0497,LA057,Darlington Borough Council,North East,2019,Flood & Drainage,22805595,,-7624595,143.76,66.6,Central Government Grant
SP-0498,LA057,Darlington Borough Council,North East,2022,Parks & Green Spaces,27579352,35129800,7550448,332.67,,City Deal
SP-0499,LA057,Darlington Borough Council,North East,2020,Waste Management,"£29,159,107",,-4050707,237.77,86.1,Private Finance Initiative
SP-0500,LA057,Darlington Borough Council,North East,2021,Waste Management,"£21,813,553","£17,390,900",-4422653,164.69,79.7,Private Finance Initiative
SP-0501,LA057,Darlington Borough Council,North East,2019,Digital Infrastructure,8580558,8393700,-186858,79.49,97.8,EU Structural Funds
SP-0502,LA057,Darlington Borough Council,NE England,2023,Energy & Utilities,39992313,"£37,947,100",-2045213,,94.9,City Deal
SP-0503,LA058,Durham County Council,North East,2020,Roads & Transport,20845059,24697100,,46.86,118.5,Private Finance Initiative
SP-0504,LA058,Durham County Council,North East,2022,Roads & Transport,20108779,21865200,,41.49,108.7,Central Government Grant
SP-0505,LA058,Durham County Council,North East,2023,Housing & Planning,38176401,36830800,-1345601,69.89,96.5,Mixed Funding
SP-0506,LA058,Durham County Council,North East,2023,Flood & Drainage,31346835,"£34,594,200",3247365,65.64,110.4,Central Government Grant
SP-0507,LA058,Durham County Council,North East,2020,Parks & Green Spaces,37032636,26188900,-10843736,49.69,,Combined Authority
SP-0508,LA058,Durham County Council,North east,2019,Waste Management,15528981,11810200,-3718781,22.41,76.1,Private Finance Initiative
SP-0509,LA058,Durham County Council,North East,2021,Waste Management,21945698,23575400,1629702,44.74,,EU Structural Funds
SP-0510,LA058,Durham County Council,North East,2020,Digital Infrastructure,15651274,16456700,805426,31.23,105.1,Local Authority Budget
SP-0511,LA058,Durham County Council,NE England,2023,Energy & Utilities,12963262,16985200,4021938,32.23,131,Levelling Up Fund
SP-0512,LA059,Northumberland County Council,North East,2021,Roads & Transport,"£22,593,851",22717800,123949,70.86,100.5,Private Finance Initiative
SP-0513,LA059,Northumberland County Council,NE England,2019,Housing & Planning,16706208,19245700,2539492,60.03,115.2,Mixed Funding
SP-0514,LA059,Northumberland County Council,North East,2020,Housing & Planning,24729752,20755600,-3974152,64.74,83.9,Mixed Funding
SP-0515,LA059,Northumberland County Council,North East,2021,Flood & Drainage,4518260,6095800,1577540,,134.9,Central Government Grant
SP-0516,LA059,Northumberland County Council,North East,2023,Parks & Green Spaces,2817761,1923200,-894561,6,68.3,City Deal
SP-0517,LA059,Northumberland County Council,North East ,2020,Waste Management,33200385,33292500,92115,103.84,100.3,EU Structural Funds
SP-0518,LA059,Northumberland County Council,NE England,2022,Digital Infrastructure,41686054,28580500,-13105554,89.15,68.6,EU Structural Funds
SP-0519,LA059,Northumberland County Council,North East,2023,Energy & Utilities,15825350,12621000,-3204350,39.37,79.8,Mixed Funding
SP-0520,LA060,Redcar and Cleveland Borough Council,North East,2023,Roads & Transport,32317838,27802800,-4515038,205.64,86,Levelling Up Fund
SP-0521,LA060,Redcar and Cleveland Borough Council,North East,2019,Housing & Planning,18310870,16788300,-1522570,124.17,91.7,Mixed Funding
SP-0522,LA060,Redcar and Cleveland Borough Council,North East,2022,Flood & Drainage,9780316,11919900,2139584,88.16,121.9,Private Finance Initiative
SP-0523,LA060,Redcar and Cleveland Borough Council,North East,2023,Parks & Green Spaces,6975032,,-2140632,35.76,69.3,Levelling Up Fund
SP-0524,LA060,Redcar and Cleveland Borough Council,North East ,2020,Parks & Green Spaces,3020616,2485900,-534716,18.39,,Combined Authority
SP-0525,LA060,Redcar and Cleveland Borough Council,North East,2022,Waste Management,21361727,,7256173,211.67,134,Private Finance Initiative
SP-0526,LA060,Redcar and Cleveland Borough Council,North East,2021,Digital Infrastructure,13623325,16959700,3336375,125.44,124.5,Local Authority Budget
SP-0527,LA060,Redcar and Cleveland Borough Council,North East,2020,Energy & Utilities,31462684,31818600,355916,235.34,101.1,Mixed Funding
SP-0528,LA060,Redcar and Cleveland Borough Council,North east,2023,Energy & Utilities,14424002,,4516998,140.1,131.3,Private Finance Initiative
SP-0529,LA061,Manchester City Council,NW England,2020,Roads & Transport,"£20,035,632",,291868,36.74,101.5,Combined Authority
SP-0530,LA061,Manchester City Council,North West,2019,Housing & Planning,14398097,10582000,-3816097,19.13,73.5,City Deal
SP-0531,LA061,Manchester City Council,North West,2019,Flood & Drainage,"£21,654,485","£15,355,800",-6298685,27.76,70.9,Private Finance Initiative
SP-0532,LA061,Manchester City Council,North West,2022,Parks & Green Spaces,28025186,,6967514,63.25,124.9,Mixed Funding
SP-0533,LA061,Manchester City Council,North west,2021,Waste Management,34587100,30958700,,55.96,89.5,Mixed Funding
SP-0534,LA061,Manchester City Council,North West,2021,Digital Infrastructure,20869475,24053100,3183625,43.48,115.3,Central Government Grant
SP-0535,LA061,Manchester City Council,North West,2019,Energy & Utilities,"£32,674,683","£34,179,300",1504617,61.78,104.6,Central Government Grant
SP-0536,LA062,Liverpool City Council,North West,2022,Roads & Transport,2255289,2823900,568611,,125.2,Levelling Up Fund
SP-0537,LA062,Liverpool City Council,North West,2022,Housing & Planning,"£44,156,966",28811600,-15345366,58.23,65.2,Mixed Funding
SP-0538,LA062,Liverpool City Council,North West ,2020,Housing & Planning,"£5,952,013",,1466687,14.99,124.6,Private Finance Initiative
SP-0539,LA062,Liverpool City Council,North West,2023,Flood & Drainage,"£20,032,434",25824200,5791766,52.19,128.9,City Deal
SP-0540,LA062,Liverpool City Council,North West,2020,Parks & Green Spaces,23792398,,-3982798,40.03,83.3,Private Finance Initiative
SP-0541,LA062,Liverpool City Council,North West,2021,Waste Management,"£895,360",766900,-128460,,85.6,Central Government Grant
SP-0542,LA062,Liverpool City Council,North West,2019,Digital Infrastructure,36480346,36703400,223054,74.18,100.6,Levelling Up Fund
SP-0543,LA062,Liverpool City Council,North West,2022,Digital Infrastructure,44182407,31565700,,63.79,71.4,Local Authority Budget
SP-0544,LA062,Liverpool City Council,North West,2022,Energy & Utilities,22480887,26705100,4224213,53.97,118.8,Levelling Up Fund
SP-0545,LA063,Salford City Council,North West,2020,Roads & Transport,10705975,8383200,-2322775,,78.3,Central Government Grant
SP-0546,LA063,Salford City Council,North West,2022,Roads & Transport,31594434,31797900,203466,,100.6,Mixed Funding
SP-0547,LA063,Salford City Council,North West,2023,Housing & Planning,3514234,3307200,-207034,12.63,94.1,Local Authority Budget
SP-0548,LA063,Salford City Council,North West,2021,Flood & Drainage,"£12,045,309",12195400,150091,46.57,101.2,Private Finance Initiative
SP-0549,LA063,Salford City Council,North west,2019,Parks & Green Spaces,35146723,46888500,11741777,179.03,133.4,Central Government Grant
SP-0550,LA063,Salford City Council,North West,2020,Waste Management,"£7,226,721",8986600,1759879,,124.4,Private Finance Initiative
SP-0551,LA063,Salford City Council,North West,2021,Waste Management,33601403,"£27,987,000",-5614403,106.86,,EU Structural Funds
SP-0552,LA063,Salford City Council,North West,2020,Digital Infrastructure,34627122,"£25,979,100",-8648022,,75,Local Authority Budget
SP-0553,LA063,Salford City Council,North West,2019,Digital Infrastructure,18900487,21263300,2362813,81.19,112.5,Levelling Up Fund
SP-0554,LA063,Salford City Council,North West ,2022,Energy & Utilities,39104017,"£25,569,200",-13534817,97.63,65.4,City Deal
SP-0555,LA064,Oldham Metropolitan Borough Council,NW England,2021,Roads & Transport,"£3,450,051","£4,224,400",774349,17.82,122.4,Private Finance Initiative
SP-0556,LA064,Oldham Metropolitan Borough Council,North West,2020,Roads & Transport,38942239,52475900,13533661,221.42,134.8,City Deal
SP-0557,LA064,Oldham Metropolitan Borough Council,North West,2023,Housing & Planning,"£31,209,387",20964400,-10244987,88.46,67.2,City Deal
SP-0558,LA064,Oldham Metropolitan Borough Council,North West,2021,Flood & Drainage,"£19,535,238",,1043762,86.83,105.3,Combined Authority
SP-0559,LA064,Oldham Metropolitan Borough Council,North West,2022,Parks & Green Spaces,5114450,,704150,,113.8,Levelling Up Fund
SP-0560,LA064,Oldham Metropolitan Borough Council,North West,2023,Waste Management,23887570,31397800,,,131.4,Private Finance Initiative
SP-0561,LA064,Oldham Metropolitan Borough Council,North West,2022,Waste Management,39813607,50729300,10915693,214.05,127.4,Private Finance Initiative
SP-0562,LA064,Oldham Metropolitan Borough Council,North West,2019,Digital Infrastructure,"£35,056,011",31493000,-3563011,132.88,89.8,Central Government Grant
SP-0563,LA064,Oldham Metropolitan Borough Council,North West,2021,Energy & Utilities,43408414,40499900,,170.89,93.3,City Deal
SP-0564,LA064,Oldham Metropolitan Borough Council,North West,2019,Energy & Utilities,11453114,"£12,018,600",565486,50.71,104.9,Local Authority Budget
SP-0565,LA065,Rochdale Metropolitan Borough Council,North West,2022,Roads & Transport,23875116,18490800,-5384316,83.67,77.4,Levelling Up Fund
SP-0566,LA065,Rochdale Metropolitan Borough Council,North West,2021,Housing & Planning,19875804,17987800,-1888004,81.39,90.5,Mixed Funding
SP-0567,LA065,Rochdale Metropolitan Borough Council,North West,2022,Flood & Drainage,35882330,46989900,,212.62,131,Combined Authority
SP-0568,LA065,Rochdale Metropolitan Borough Council,North West,2019,Parks & Green Spaces,5022934,"£6,133,600",,27.75,,Levelling Up Fund
SP-0569,LA065,Rochdale Metropolitan Borough Council,North West,2022,Parks & Green Spaces,"£9,387,539",11778600,2391061,53.3,125.5,Mixed Funding
SP-0570,LA065,Rochdale Metropolitan Borough Council,North West,2023,Waste Management,2148927,2021100,-127827,,94.1,Combined Authority
SP-0571,LA065,Rochdale Metropolitan Borough Council,North West,2022,Digital Infrastructure,11906589,14213000,2306411,64.31,119.4,Mixed Funding
SP-0572,LA065,Rochdale Metropolitan Borough Council,North West,2023,Energy & Utilities,27172390,31848500,4676110,144.11,117.2,Levelling Up Fund
SP-0573,LA066,Stockport Metropolitan Borough Council,North West ,2020,Roads & Transport,7637023,5134000,-2503023,17.51,67.2,EU Structural Funds
SP-0574,LA066,Stockport Metropolitan Borough Council,North West,2023,Housing & Planning,34443709,35964800,1521091,122.66,104.4,Central Government Grant
SP-0575,LA066,Stockport Metropolitan Borough Council,North West,2022,Flood & Drainage,15612502,10614600,-4997902,,68,Combined Authority
SP-0576,LA066,Stockport Metropolitan Borough Council,North west,2020,Flood & Drainage,28330422,"£21,235,600",-7094822,72.43,75,City Deal
SP-0577,LA066,Stockport Metropolitan Borough Council,North West,2023,Parks & Green Spaces,36472998,31352200,-5120798,106.93,86,Mixed Funding
SP-0578,LA066,Stockport Metropolitan Borough Council,North West,2021,Waste Management,12977822,15515000,2537178,52.92,119.6,Mixed Funding
SP-0579,LA066,Stockport Metropolitan Borough Council,North West,2023,Waste Management,37451132,32187800,-5263332,109.78,85.9,Combined Authority
SP-0580,LA066,Stockport Metropolitan Borough Council,North West,2020,Digital Infrastructure,31741458,,4490242,123.57,114.1,Private Finance Initiative
SP-0581,LA066,Stockport Metropolitan Borough Council,NW England,2023,Energy & Utilities,33028462,,-3035162,102.3,90.8,EU Structural Funds
SP-0582,LA066,Stockport Metropolitan Borough Council,North West,2020,Energy & Utilities,15092574,,-840174,48.61,94.4,Mixed Funding
SP-0583,LA067,Tameside Metropolitan Borough Council,North West ,2023,Roads & Transport,"£4,005,862",4108200,102338,18.2,,City Deal
SP-0584,LA067,Tameside Metropolitan Borough Council,North West,2019,Roads & Transport,2438407,2750000,311593,12.18,112.8,Local Authority Budget
SP-0585,LA067,Tameside Metropolitan Borough Council,North West,2023,Housing & Planning,13666599,9403200,-4263399,41.66,68.8,City Deal
SP-0586,LA067,Tameside Metropolitan Borough Council,North West,2019,Flood & Drainage,"£11,024,334",12563200,1538866,55.66,114,Mixed Funding
SP-0587,LA067,Tameside Metropolitan Borough Council,NW England,2021,Flood & Drainage,26459636,31537200,5077564,139.73,119.2,Private Finance Initiative
SP-0588,LA067,Tameside Metropolitan Borough Council,North west,2020,Parks & Green Spaces,41553162,28619600,-12933562,126.8,,EU Structural Funds
SP-0589,LA067,Tameside Metropolitan Borough Council,North West,2022,Waste Management,26808176,20396700,-6411476,90.37,76.1,City Deal
SP-0590,LA067,Tameside Metropolitan Borough Council,North West,2023,Digital Infrastructure,33140381,35101500,1961119,155.52,105.9,Combined Authority
SP-0591,LA067,Tameside Metropolitan Borough Council,North West,2023,Energy & Utilities,11730509,9279700,-2450809,,79.1,EU Structural Funds
SP-0592,LA068,Trafford Metropolitan Borough Council,North West,2022,Roads & Transport,"£5,808,374","£7,387,200",1578826,31.12,127.2,Mixed Funding
SP-0593,LA068,Trafford Metropolitan Borough Council,North West,2021,Housing & Planning,28962185,,5958615,147.1,,Mixed Funding
SP-0594,LA068,Trafford Metropolitan Borough Council,North West,2020,Housing & Planning,22743036,,6565364,123.46,128.9,Local Authority Budget
SP-0595,LA068,Trafford Metropolitan Borough Council,North west,2020,Flood & Drainage,8346618,"£6,519,500",-1827118,,78.1,EU Structural Funds
SP-0596,LA068,Trafford Metropolitan Borough Council,NW England,2023,Parks & Green Spaces,26154250,28154800,2000550,118.6,107.6,Local Authority Budget
SP-0597,LA068,Trafford Metropolitan Borough Council,North West,2023,Waste Management,8528895,"£5,931,900",-2596995,24.99,69.6,Combined Authority
SP-0598,LA068,Trafford Metropolitan Borough Council,North West,2019,Digital Infrastructure,39116615,,2441385,175.05,106.2,Local Authority Budget
SP-0599,LA068,Trafford Metropolitan Borough Council,North West,2022,Digital Infrastructure,9181389,,1702211,45.84,118.5,City Deal
SP-0600,LA068,Trafford Metropolitan Borough Council,North West,2019,Energy & Utilities,7213305,6897100,-316205,29.05,95.6,Levelling Up Fund
SP-0601,LA069,Wigan Metropolitan Borough Council,North West ,2020,Roads & Transport,31192386,23998000,,73.12,76.9,Local Authority Budget
SP-0602,LA069,Wigan Metropolitan Borough Council,North West,2022,Housing & Planning,31827119,26238500,-5588619,79.95,82.4,Levelling Up Fund
SP-0603,LA069,Wigan Metropolitan Borough Council,North west,2021,Flood & Drainage,18591077,22995400,4404323,70.07,123.7,Levelling Up Fund
SP-0604,LA069,Wigan Metropolitan Borough Council,North West,2023,Parks & Green Spaces,7039944,,-1227244,,,Local Authority Budget
SP-0605,LA069,Wigan Metropolitan Borough Council,North West ,2021,Waste Management,"£44,954,687",38665300,-6289387,117.81,86,EU Structural Funds
SP-0606,LA069,Wigan Metropolitan Borough Council,NW England,2022,Waste Management,5054883,6158100,1103217,18.76,121.8,Levelling Up Fund
SP-0607,LA069,Wigan Metropolitan Borough Council,North west,2019,Digital Infrastructure,12151960,11983900,-168060,36.51,98.6,Mixed Funding
SP-0608,LA069,Wigan Metropolitan Borough Council,North West,2021,Energy & Utilities,24054789,"£29,302,500",5247711,89.28,121.8,Local Authority Budget
SP-0609,LA070,Bolton Metropolitan Borough Council,North West,2020,Roads & Transport,40126914,30986100,-9140814,105.14,77.2,Mixed Funding
SP-0610,LA070,Bolton Metropolitan Borough Council,North West,2020,Housing & Planning,8363746,,,30.56,107.7,Combined Authority
SP-0611,LA070,Bolton Metropolitan Borough Council,North West,2023,Housing & Planning,33517065,33583100,66035,113.96,100.2,City Deal
SP-0612,LA070,Bolton Metropolitan Borough Council,North West,2022,Flood & Drainage,3897455,4024400,126945,13.66,103.3,Central Government Grant
SP-0613,LA070,Bolton Metropolitan Borough Council,North West,2021,Parks & Green Spaces,"£10,683,815","£11,702,800",1018985,39.71,109.5,Local Authority Budget
SP-0614,LA070,Bolton Metropolitan Borough Council,North West,2019,Parks & Green Spaces,28656494,26239600,-2416894,89.04,91.6,Combined Authority
SP-0615,LA070,Bolton Metropolitan Borough Council,North West,2020,Waste Management,9337585,10698100,,36.3,114.6,Combined Authority
SP-0616,LA070,Bolton Metropolitan Borough Council,North West,2021,Digital Infrastructure,27889283,19249800,-8639483,65.32,69,EU Structural Funds
SP-0617,LA070,Bolton Metropolitan Borough Council,North West,2021,Energy & Utilities,44058301,44801800,743499,152.03,101.7,Levelling Up Fund
SP-0618,LA071,Bury Metropolitan Borough Council,North West,2023,Roads & Transport,14520030,14788700,268670,77.67,101.9,Mixed Funding
SP-0619,LA071,Bury Metropolitan Borough Council,North West,2023,Housing & Planning,16965641,,-1856141,79.36,89.1,Levelling Up Fund
SP-0620,LA071,Bury Metropolitan Borough Council,NW England,2022,Flood & Drainage,26281388,23075800,-3205588,,87.8,Local Authority Budget
SP-0621,LA071,Bury Metropolitan Borough Council,North West,2020,Parks & Green Spaces,22628027,"£18,165,500",-4462527,95.41,80.3,Private Finance Initiative
SP-0622,LA071,Bury Metropolitan Borough Council,North West,2019,Waste Management,37518324,32410400,-5107924,170.22,86.4,EU Structural Funds
SP-0623,LA071,Bury Metropolitan Borough Council,North West,2022,Digital Infrastructure,19570955,,110845,103.37,,Combined Authority
SP-0624,LA071,Bury Metropolitan Borough Council,North West,2020,Energy & Utilities,10211378,9724100,-487278,51.07,95.2,Private Finance Initiative
SP-0625,LA072,Preston City Council,North West,2022,Roads & Transport,23912474,,7345026,220.43,130.7,Levelling Up Fund
SP-0626,LA072,Preston City Council,North West,2021,Housing & Planning,16166157,,-2648457,95.33,83.6,Private Finance Initiative
SP-0627,LA072,Preston City Council,North West,2020,Flood & Drainage,36450239,25923300,-10526939,182.82,71.1,Levelling Up Fund
SP-0628,LA072,Preston City Council,North West ,2021,Parks & Green Spaces,44541042,,13010558,405.86,129.2,EU Structural Funds
SP-0629,LA072,Preston City Council,North West,2023,Waste Management,37547569,31089600,-6457969,219.25,82.8,Combined Authority
SP-0630,LA072,Preston City Council,North West,2019,digital infrastructure,6756971,"£8,270,100",1513129,58.32,122.4,Central Government Grant
SP-0631,LA072,Preston City Council,North West,2020,Energy & Utilities,34683385,29333900,-5349485,206.87,84.6,City Deal
SP-0632,LA073,Blackpool Borough Council,North West,2023,Roads & Transport,3769270,,,,131.1,Levelling Up Fund
SP-0633,LA073,Blackpool Borough Council,North West ,2020,Housing & Planning,"£32,055,807",27986300,-4069507,189.35,87.3,Mixed Funding
SP-0634,LA073,Blackpool Borough Council,North West,2019,Flood & Drainage,12689826,9538300,-3151526,64.54,75.2,City Deal
SP-0635,LA073,Blackpool Borough Council,North West,2022,Flood & Drainage,6860876,6279000,-581876,42.48,,Central Government Grant
SP-0636,LA073,Blackpool Borough Council,North West,2020,Parks & Green Spaces,"£34,444,735",24648600,-9796135,166.77,71.6,EU Structural Funds
SP-0637,LA073,Blackpool Borough Council,North West,2021,Waste Management,"£16,843,893","£17,391,300",547407,,103.2,EU Structural Funds
SP-0638,LA073,Blackpool Borough Council,North West,2020,Digital Infrastructure,8771631,10525700,1754069,71.22,120,Mixed Funding
SP-0639,LA073,Blackpool Borough Council,North West,2020,Energy & Utilities,31993174,"£35,038,600",3045426,237.07,109.5,Local Authority Budget
